GEOIDNUM,EM_CNTEST,EM_CNTMOE,EM_CLASS,EM_SCORE,IPD_SCORE,STATEFP10,COUNTYFP10,NAME10,EM_PCTEST,EM_PCTMOE,EM_PCTILE
42045406402.00000000000,7,26,below average,1,21,42,045,4064.02,0.006,0,0.050
42045403800.00000000000,138,144,below average,1,16,42,045,4038,0.021,0,0.230
42045403602.00000000000,26,31,below average,1,14,42,045,4036.02,0.014,0,0.140
42045402100.00000000000,86,63,below average,1,19,42,045,4021,0.015,0,0.150
42045403501.00000000000,145,122,average,2,15,42,045,4035.01,0.035,0,0.390
42045408900.00000000000,0,10,well below average,0,15,42,045,4089,0.000,0,0.010
42045408800.00000000000,112,84,below average,1,12,42,045,4088,0.023,0,0.250
42045408300.00000000000,126,51,average,2,14,42,045,4083,0.028,0,0.310
42045409200.00000000000,74,79,below average,1,14,42,045,4092,0.018,0,0.180
42045409803.00000000000,269,206,average,2,15,42,045,4098.03,0.039,0,0.430
42045407802.00000000000,31,28,below average,1,13,42,045,4078.02,0.005,0,0.040
42045408700.00000000000,134,99,average,2,13,42,045,4087,0.027,0,0.300
42045401104.00000000000,146,133,average,2,17,42,045,4011.04,0.036,0,0.400
42045400600.00000000000,219,180,average,2,17,42,045,4006,0.047,0,0.510
42045401600.00000000000,6,10,below average,1,17,42,045,4016,0.004,0,0.040
42045401301.00000000000,167,118,average,2,20,42,045,4013.01,0.067,0,0.640
42045401302.00000000000,86,79,average,2,17,42,045,4013.02,0.032,0,0.350
42045407804.00000000000,27,41,below average,1,13,42,045,4078.04,0.006,0,0.050
42045409500.00000000000,52,56,below average,1,15,42,045,4095,0.011,0,0.110
42045410000.00000000000,0,10,well below average,0,15,42,045,4100,0.000,0,0.010
42045403502.00000000000,91,146,average,2,20,42,045,4035.02,0.030,0,0.330
42045403701.00000000000,72,61,average,2,15,42,045,4037.01,0.041,0,0.450
42045403702.00000000000,10,16,below average,1,15,42,045,4037.02,0.004,0,0.040
42045403104.00000000000,90,80,average,2,19,42,045,4031.04,0.035,0,0.390
42045403300.00000000000,75,80,below average,1,19,42,045,4033,0.011,0,0.110
42045406100.00000000000,38,37,below average,1,15,42,045,4061,0.017,0,0.170
42045403902.00000000000,24,22,below average,1,12,42,045,4039.02,0.007,0,0.060
42045410500.00000000000,502,486,average,2,26,42,045,4105,0.096,0,0.760
42045410700.00000000000,571,202,average,2,20,42,045,4107,0.102,0,0.780
42045410800.00000000000,91,86,below average,1,15,42,045,4108,0.011,0,0.110
42045409702.00000000000,84,50,average,2,8,42,045,4097.02,0.042,0,0.460
42045403601.00000000000,38,49,below average,1,14,42,045,4036.01,0.009,0,0.080
42045402200.00000000000,58,46,average,2,23,42,045,4022,0.025,0,0.270
42045406801.00000000000,43,46,below average,1,16,42,045,4068.01,0.010,0,0.100
42045407501.00000000000,28,35,below average,1,14,42,045,4075.01,0.012,0,0.120
42045404500.00000000000,1217,493,above average,3,24,42,045,4045,0.219,0,0.900
42045408101.00000000000,56,56,below average,1,17,42,045,4081.01,0.010,0,0.100
42045407404.00000000000,73,53,below average,1,16,42,045,4074.04,0.024,0,0.260
42045406401.00000000000,146,102,average,2,22,42,045,4064.01,0.051,0,0.530
42045406201.00000000000,9,14,below average,1,14,42,045,4062.01,0.003,0,0.030
42045404103.00000000000,43,39,below average,1,13,42,045,4041.03,0.012,0,0.120
42045407502.00000000000,79,41,average,2,16,42,045,4075.02,0.027,0,0.300
42045407101.00000000000,135,99,average,2,16,42,045,4071.01,0.033,0,0.360
42045409601.00000000000,72,53,below average,1,20,42,045,4096.01,0.015,0,0.150
